Country,Year,Sector,Site,Station,Reef.zone,Period,benthic_name,benthic_code,Organization,Source,mean_cover,sd
Tanzania,2005,NA,Zanzibar,Bawe,NA,Pre,Spongy,SPG,,GCRMN,1,NA
Tanzania,2004,NA,Zanzibar,Bawe,NA,Pre,Algae-coralline,ACOR,,GCRMN,2,NA
Tanzania,2004,NA,Zanzibar,Bawe,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,0,NA
Tanzania,2004,NA,Zanzibar,Bawe,NA,Pre,Bare substrate,BS,,GCRMN,21,NA
Tanzania,2004,NA,Zanzibar,Bawe,NA,Pre,Dead Standing coral,DC,,GCRMN,24,NA
Tanzania,2004,NA,Zanzibar,Bawe,NA,Pre,Coral,HC,,GCRMN,45,NA
Tanzania,2004,NA,Zanzibar,Bawe,NA,Pre,Soft coral,SC,,GCRMN,3,NA
Tanzania,2004,NA,Zanzibar,Bawe,NA,Pre,Spongy,SPG,,GCRMN,1,NA
Tanzania,2003,NA,Zanzibar,Bawe,NA,Pre,Algae-coralline,ACOR,,GCRMN,2,NA
Tanzania,2003,NA,Zanzibar,Bawe,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,0,NA
Tanzania,2003,NA,Zanzibar,Bawe,NA,Pre,Bare substrate,BS,,GCRMN,23,NA
Tanzania,2003,NA,Zanzibar,Bawe,NA,Pre,Dead Standing coral,DC,,GCRMN,20,NA
Tanzania,2003,NA,Zanzibar,Bawe,NA,Pre,Coral,HC,,GCRMN,48,NA
Tanzania,2003,NA,Zanzibar,Bawe,NA,Pre,Soft coral,SC,,GCRMN,3,NA
Tanzania,2003,NA,Zanzibar,Bawe,NA,Pre,Spongy,SPG,,GCRMN,1,NA
Tanzania,2002,NA,Zanzibar,Bawe,NA,Pre,Algae-coralline,ACOR,,GCRMN,2,NA
Tanzania,2002,NA,Zanzibar,Bawe,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,0,NA
Tanzania,2002,NA,Zanzibar,Bawe,NA,Pre,Bare substrate,BS,,GCRMN,25,NA
