"Country","Year","Sector","Site","Station","Reef.zone","benthic_name2","benthic_code","mean_cover","sd","Organization","Period","Source"
"Tanzania",1994,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",17,NA,"","Pre","GCRMN"
"Tanzania",1994,NA,"Zanzibar","Kwale",NA,"Coral","HC",24,NA,"","Pre","GCRMN"
"Tanzania",1994,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN"
"Tanzania",1994,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",2015,NA,"Mafia","Kitutia",NA,"Algae-coralline","ACOR",20,NA,"","Pre","GCRMN"
"Tanzania",2015,NA,"Mafia","Kitutia",NA,"Algae-macro/fleshy","AMAC",7,NA,"","Pre","GCRMN"
"Tanzania",2015,NA,"Mafia","Kitutia",NA,"Coral","HC",45,NA,"","Pre","GCRMN"
"Tanzania",2011,NA,"Mafia","Kitutia",NA,"Coral","HC",52,NA,"","Pre","GCRMN"
"Tanzania",2009,NA,"Mafia","Kitutia",NA,"Coral","HC",30,NA,"","Pre","GCRMN"
"Tanzania",2005,NA,"Mafia","Kitutia",NA,"Algae-coralline","ACOR",6,NA,"","Pre","GCRMN"
"Tanzania",2005,NA,"Mafia","Kitutia",NA,"Algae-macro/fleshy","AMAC",21,NA,"","Pre","GCRMN"
"Tanzania",2005,NA,"Mafia","Kitutia",NA,"Bare substrate","BS",0,NA,"","Pre","GCRMN"
"Tanzania",2005,NA,"Mafia","Kitutia",NA,"Coral","HC",23,NA,"","Pre","GCRMN"
"Tanzania",2005,NA,"Mafia","Kitutia",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN"
"Tanzania",2005,NA,"Mafia","Kitutia",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",2003,NA,"Mafia","Kitutia",NA,"Algae-coralline","ACOR",13,NA,"","Pre","GCRMN"
"Tanzania",2003,NA,"Mafia","Kitutia",NA,"Algae-macro/fleshy","AMAC",44,NA,"","Pre","GCRMN"
"Tanzania",2003,NA,"Mafia","Kitutia",NA,"Bare substrate","BS",14,NA,"","Pre","GCRMN"
"Tanzania",2003,NA,"Mafia","Kitutia",NA,"Dead Standing coral","DC",0,NA,"","Pre","GCRMN"
"Tanzania",2003,NA,"Mafia","Kitutia",NA,"Coral","HC",17,NA,"","Pre","GCRMN"
"Tanzania",2003,NA,"Mafia","Kitutia",NA,"Soft coral","SC",10,NA,"","Pre","GCRMN"
"Tanzania",2003,NA,"Mafia","Kitutia",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Mafia","Kitutia",NA,"Algae-coralline","ACOR",18,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Mafia","Kitutia",NA,"Algae-macro/fleshy","AMAC",24,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Mafia","Kitutia",NA,"Bare substrate","BS",29,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Mafia","Kitutia",NA,"Dead Standing coral","DC",6,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Mafia","Kitutia",NA,"Coral","HC",19,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Mafia","Kitutia",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Mafia","Kitutia",NA,"Spongy","SPG",1,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Mafia","Kitutia",NA,"Algae-coralline","ACOR",3,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Mafia","Kitutia",NA,"Algae-macro/fleshy","AMAC",15,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Mafia","Kitutia",NA,"Bare substrate","BS",38,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Mafia","Kitutia",NA,"Dead Standing coral","DC",22,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Mafia","Kitutia",NA,"Coral","HC",15,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Mafia","Kitutia",NA,"Soft coral","SC",4,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Mafia","Kitutia",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kitanga",NA,"Algae-coralline","ACOR",2,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kitanga",NA,"Algae-macro/fleshy","AMAC",3,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kitanga",NA,"Bare substrate","BS",3,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kitanga",NA,"Dead Standing coral","DC",28,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kitanga",NA,"Coral","HC",49,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kitanga",NA,"Recent Dead Coral","RDC",0,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kitanga",NA,"Rubble","RUB",10,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kitanga",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kitanga",NA,"Seagrass","SGR",0,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kitanga",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kitanga",NA,"Algae-coralline","ACOR",1,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kitanga",NA,"Algae-macro/fleshy","AMAC",2,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kitanga",NA,"Bare substrate","BS",5,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kitanga",NA,"Dead Standing coral","DC",20,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kitanga",NA,"Coral","HC",60,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kitanga",NA,"Recent Dead Coral","RDC",2,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kitanga",NA,"Rubble","RUB",5,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kitanga",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kitanga",NA,"Seagrass","SGR",1,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kitanga",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Tanga","Kitanga",NA,"Coral","HC",65,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Tanga","Kitanga",NA,"Recent Dead Coral","RDC",0,NA,"","Pre","GCRMN"
"Tanzania",2000,NA,"Tanga","Kitanga",NA,"Coral","HC",54,NA,"","Pre","GCRMN"
"Tanzania",2000,NA,"Tanga","Kitanga",NA,"Recent Dead Coral","RDC",3,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Tanga","Kitanga",NA,"Coral","HC",50,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Tanga","Kitanga",NA,"Recent Dead Coral","RDC",0,NA,"","Pre","GCRMN"
"Tanzania",1998,NA,"Tanga","Kitanga",NA,"Coral","HC",47,NA,"","Pre","GCRMN"
"Tanzania",1998,NA,"Tanga","Kitanga",NA,"Recent Dead Coral","RDC",0,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kipwani",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kipwani",NA,"Algae-macro/fleshy","AMAC",2,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kipwani",NA,"Bare substrate","BS",15,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kipwani",NA,"Dead Standing coral","DC",42,NA,"","Pre","GCRMN"
