"Country","Year","Sector","Site","Station","Reef.zone","Period","site.id","FA","HC"
"Madagascar",2008,"South West","Andavadoaka","Lost",NA,"Pre","Madagascar_Andavadoaka_Lost",58.33333333,18.333333332
"Madagascar",2008,"South West","Andavadoaka","Ns_Coco_Beach",NA,"Pre","Madagascar_Andavadoaka_Ns_Coco_Beach",51.499999997,41.333333333
"Madagascar",2008,"South West","Andavadoaka","Recruitment_North",NA,"Pre","Madagascar_Andavadoaka_Recruitment_North",19.71428571,61.714285721
"Madagascar",2009,"South West","Andavadoaka","Lost",NA,"Pre","Madagascar_Andavadoaka_Lost",46.999999993,29.666666667
"Madagascar",2009,"South West","Andavadoaka","Ns_Coco_Beach",NA,"Pre","Madagascar_Andavadoaka_Ns_Coco_Beach",43.33333333,44.333333334
"Madagascar",2009,"South West","Andavadoaka","Recruitment_North",NA,"Pre","Madagascar_Andavadoaka_Recruitment_North",29.75,53.5
"Madagascar",2010,"South West","Andavadoaka","Lost",NA,"Pre","Madagascar_Andavadoaka_Lost",48.66666667,36.666666662
"Madagascar",2010,"South West","Andavadoaka","Ns_Coco_Beach",NA,"Pre","Madagascar_Andavadoaka_Ns_Coco_Beach",39.83333333,47.16666667
"Madagascar",2010,"South West","Andavadoaka","Recruitment_North",NA,"Pre","Madagascar_Andavadoaka_Recruitment_North",24.75,60
"Madagascar",2011,"South West","Andavadoaka","Lost",NA,"Pre","Madagascar_Andavadoaka_Lost",43.5,42.5
"Madagascar",2011,"South West","Andavadoaka","Ns_Coco_Beach",NA,"Pre","Madagascar_Andavadoaka_Ns_Coco_Beach",32.952380953,53.904761907
"Madagascar",2011,"South West","Andavadoaka","Recruitment_North",NA,"Pre","Madagascar_Andavadoaka_Recruitment_North",14.142857142,68.142857136
"Madagascar",2012,"South West","Andavadoaka","Lost",NA,"Pre","Madagascar_Andavadoaka_Lost",53.8,35.6
"Madagascar",2012,"South West","Andavadoaka","Ns_Coco_Beach",NA,"Pre","Madagascar_Andavadoaka_Ns_Coco_Beach",26.26666667,60.266666673
"Madagascar",2012,"South West","Andavadoaka","Recruitment_North",NA,"Pre","Madagascar_Andavadoaka_Recruitment_North",17,60.333333333
"Madagascar",2013,"South West","Andavadoaka","Lost",NA,"Pre","Madagascar_Andavadoaka_Lost",62,23.333333334
"Madagascar",2013,"South West","Andavadoaka","Ns_Coco_Beach",NA,"Pre","Madagascar_Andavadoaka_Ns_Coco_Beach",48.088888893,42.44444444
"Madagascar",2013,"South West","Andavadoaka","Recruitment_North",NA,"Pre","Madagascar_Andavadoaka_Recruitment_North",44.13636364,31.636363637
"Madagascar",2014,"","Nosy Be","Nosy_Vorona","Fore reef","Pre","Madagascar_Nosy Be_Nosy_Vorona",0.46,32.93
"Madagascar",2014,"","Nosy Be","Three_Brothers","Fore reef","Pre","Madagascar_Nosy Be_Three_Brothers",4.98,51.22
"Madagascar",2014,"","Nosy Be","Turtle_towers","Fore reef","Pre","Madagascar_Nosy Be_Turtle_towers",2.51,65.11
"Madagascar",2014,"South West","Andavadoaka","Lost",NA,"Pre","Madagascar_Andavadoaka_Lost",58.4,26
"Madagascar",2014,"South West","Andavadoaka","Ns_Coco_Beach",NA,"Pre","Madagascar_Andavadoaka_Ns_Coco_Beach",31.485714287,56.628571432
"Madagascar",2014,"South West","Andavadoaka","Recruitment_North",NA,"Pre","Madagascar_Andavadoaka_Recruitment_North",44.363636364,24.303030307
"Madagascar",2015,"South West","Andavadoaka","Ns_Coco_Beach",NA,"Pre","Madagascar_Andavadoaka_Ns_Coco_Beach",31.777777781,56.111111106
"Madagascar",2016,"Northern Madagascar","Nosy Komba","Dragon's_Den","Crest","Pre","Madagascar_Nosy Komba_Dragon's_Den",3.25,62.74
"Madagascar",2016,"Northern Madagascar","Nosy Komba","Dragon's_Den","Crest","Post","Madagascar_Nosy Komba_Dragon's_Den",0.81,62.74
"Madagascar",2016,"Northern Madagascar","Nosy Komba","Galaxea","Crest","Pre","Madagascar_Nosy Komba_Galaxea",0,54.9
"Madagascar",2016,"Northern Madagascar","Nosy Komba","Galaxea","Crest","Post","Madagascar_Nosy Komba_Galaxea",1.02,54.9
"Madagascar",2016,"Northern Madagascar","Nosy Komba","Turtle_Towers","Crest","Pre","Madagascar_Nosy Komba_Turtle_Towers",3.88,51.34
