"Country","Site","Station","Period","benthic_category","recent_year","no_years_benthic","recent_cover","ave_cover","cover","paste(algae_r1$Site, algae_r1$Station, sep = """")"
"Seychelles","Mahe NW","Anse_Major_Reef","Post","HC",2017,1,12.8,12.8,12.8,"Mahe NWAnse_Major_Reef"
"Seychelles","Mahe NW","Auberge_Reef","Pre","FA",2016,5,42.48,8.496,8.496,"Mahe NWAuberge_Reef"
"Seychelles","Mahe NW","Auberge_Reef","Pre","HC",2016,5,22.95,26.99,26.99,"Mahe NWAuberge_Reef"
"Seychelles","Mahe NW","Auberge_Reef","Post","FA",2017,1,49.59,49.59,49.59,"Mahe NWAuberge_Reef"
"Seychelles","Mahe NW","Auberge_Reef","Post","HC",2017,1,16.58,16.58,16.58,"Mahe NWAuberge_Reef"
"Seychelles","Mahe NW","Bay_Ternay_Centre","Pre","FA",2016,5,22.5,4.7,4.7,"Mahe NWBay_Ternay_Centre"
"Seychelles","Mahe NW","Bay_Ternay_Centre","Pre","HC",2016,5,54.66,56.132,56.132,"Mahe NWBay_Ternay_Centre"
"Seychelles","Mahe NW","Bay_Ternay_Centre","Post","FA",2017,1,32.13,32.13,32.13,"Mahe NWBay_Ternay_Centre"
"Seychelles","Mahe NW","Bay_Ternay_Centre","Post","HC",2017,1,16.77,16.77,16.77,"Mahe NWBay_Ternay_Centre"
"Seychelles","Mahe NW","Bay_Ternay_Lighthouse","Pre","FA",2015,4,1,0.25,0.25,"Mahe NWBay_Ternay_Lighthouse"
"Seychelles","Mahe NW","Bay_Ternay_Lighthouse","Pre","HC",2015,4,45,45.25,45.25,"Mahe NWBay_Ternay_Lighthouse"
"Seychelles","Mahe NW","Bay_Ternay_Lighthouse","Post","FA",2017,1,61.97,61.97,61.97,"Mahe NWBay_Ternay_Lighthouse"
"Seychelles","Mahe NW","Bay_Ternay_Lighthouse","Post","HC",2017,1,10.32,10.32,10.32,"Mahe NWBay_Ternay_Lighthouse"
"Seychelles","Mahe NW","Bay_Ternay_North_East","Pre","FA",2016,5,36.8,7.76,7.76,"Mahe NWBay_Ternay_North_East"
"Seychelles","Mahe NW","Bay_Ternay_North_East","Pre","HC",2016,5,50.63,42.526,42.526,"Mahe NWBay_Ternay_North_East"
"Seychelles","Mahe NW","Bay_Ternay_North_East","Post","FA",2017,1,51.73,51.73,51.73,"Mahe NWBay_Ternay_North_East"
"Seychelles","Mahe NW","Bay_Ternay_North_East","Post","HC",2017,1,14.22,14.22,14.22,"Mahe NWBay_Ternay_North_East"
"Seychelles","Mahe NW","Bay_Ternay_North_West","Pre","FA",2016,5,53.26,11.652,11.652,"Mahe NWBay_Ternay_North_West"
"Seychelles","Mahe NW","Bay_Ternay_North_West","Pre","HC",2016,5,30.97,37.594,37.594,"Mahe NWBay_Ternay_North_West"
"Seychelles","Mahe NW","Bay_Ternay_North_West","Post","FA",2017,1,38.72,38.72,38.72,"Mahe NWBay_Ternay_North_West"
"Seychelles","Mahe NW","Bay_Ternay_North_West","Post","HC",2017,1,7.55,7.55,7.55,"Mahe NWBay_Ternay_North_West"
"Seychelles","Mahe NW","Conception_Central_East_Face","Pre","FA",2016,3,5.22,1.74,1.74,"Mahe NWConception_Central_East_Face"
"Seychelles","Mahe NW","Conception_Central_East_Face","Pre","HC",2016,3,2.77,24.2566666666667,24.2566666666667,"Mahe NWConception_Central_East_Face"
"Seychelles","Mahe NW","Conception_Central_East_Face","Post","FA",2017,1,62.75,62.75,62.75,"Mahe NWConception_Central_East_Face"
"Seychelles","Mahe NW","Conception_Central_East_Face","Post","HC",2017,1,11.79,11.79,11.79,"Mahe NWConception_Central_East_Face"
"Seychelles","Mahe NW","Conception_North_Point","Pre","FA",2016,4,38.22,13.805,13.805,"Mahe NWConception_North_Point"
"Seychelles","Mahe NW","Conception_North_Point","Pre","HC",2016,4,43.42,46.855,46.855,"Mahe NWConception_North_Point"
"Seychelles","Mahe NW","Conception_North_Point","Post","FA",2017,1,51.03,51.03,51.03,"Mahe NWConception_North_Point"
"Seychelles","Mahe NW","Conception_North_Point","Post","HC",2017,1,4.82,4.82,4.82,"Mahe NWConception_North_Point"
"Seychelles","Mahe NW","Corsaire_Reef","Pre","FA",2016,5,54.12,11.024,11.024,"Mahe NWCorsaire_Reef"
"Seychelles","Mahe NW","Corsaire_Reef","Pre","HC",2016,5,16.91,34.582,34.582,"Mahe NWCorsaire_Reef"
"Seychelles","Mahe NW","Corsaire_Reef","Post","FA",2017,1,48.2,48.2,48.2,"Mahe NWCorsaire_Reef"
"Seychelles","Mahe NW","Corsaire_Reef","Post","HC",2017,1,18.47,18.47,18.47,"Mahe NWCorsaire_Reef"
"Seychelles","Mahe NW","L'ilot_North_Face","Pre","FA",2013,2,0,0,0,"Mahe NWL'ilot_North_Face"
"Seychelles","Mahe NW","L'ilot_North_Face","Pre","HC",2013,2,35,34.5,34.5,"Mahe NWL'ilot_North_Face"
"Seychelles","Mahe NW","L'ilot_North_Face","Post","FA",2017,1,48.6,48.6,48.6,"Mahe NWL'ilot_North_Face"
"Seychelles","Mahe NW","L'ilot_North_Face","Post","HC",2017,1,18.02,18.02,18.02,"Mahe NWL'ilot_North_Face"
"Seychelles","Mahe NW","Port_Launay_South_Reef","Pre","FA",2016,5,52.02,10.404,10.404,"Mahe NWPort_Launay_South_Reef"
"Seychelles","Mahe NW","Port_Launay_South_Reef","Pre","HC",2016,5,27.28,40.856,40.856,"Mahe NWPort_Launay_South_Reef"
"Seychelles","Mahe NW","Port_Launay_South_Reef","Post","FA",2017,1,34.47,34.47,34.47,"Mahe NWPort_Launay_South_Reef"
"Seychelles","Mahe NW","Port_Launay_South_Reef","Post","HC",2017,1,21.77,21.77,21.77,"Mahe NWPort_Launay_South_Reef"
"Seychelles","Mahe NW","Port_Launay_West_Rocks","Pre","FA",2016,4,52.13,13.0325,13.0325,"Mahe NWPort_Launay_West_Rocks"
"Seychelles","Mahe NW","Port_Launay_West_Rocks","Pre","HC",2016,4,27.62,47.405,47.405,"Mahe NWPort_Launay_West_Rocks"
"Seychelles","Mahe NW","Port_Launay_West_Rocks","Post","FA",2017,1,29.86,29.86,29.86,"Mahe NWPort_Launay_West_Rocks"
"Seychelles","Mahe NW","Port_Launay_West_Rocks","Post","HC",2017,1,17.29,17.29,17.29,"Mahe NWPort_Launay_West_Rocks"
"Seychelles","Mahe NW","Ray's_Point","Pre","FA",2014,3,0,0,0,"Mahe NWRay's_Point"
"Seychelles","Mahe NW","Ray's_Point","Pre","HC",2014,3,31,32,32,"Mahe NWRay's_Point"
"Seychelles","Mahe NW","Ray's_Point","Post","FA",2017,1,58.63,58.63,58.63,"Mahe NWRay's_Point"
"Seychelles","Mahe NW","Ray's_Point","Post","HC",2017,1,22.59,22.59,22.59,"Mahe NWRay's_Point"
"Seychelles","Mahe NW","Secret_Beach_Reef","Pre","FA",2016,4,59.41,14.8525,14.8525,"Mahe NWSecret_Beach_Reef"
"Seychelles","Mahe NW","Secret_Beach_Reef","Pre","HC",2016,4,16.34,27.585,27.585,"Mahe NWSecret_Beach_Reef"
"Seychelles","Mahe NW","Secret_Beach_Reef","Post","FA",2017,1,44.75,44.75,44.75,"Mahe NWSecret_Beach_Reef"
"Seychelles","Mahe NW","Secret_Beach_Reef","Post","HC",2017,1,9.57,9.57,9.57,"Mahe NWSecret_Beach_Reef"
"Seychelles","Mahe NW","Site_X","Pre","FA",2016,5,49.73,9.946,9.946,"Mahe NWSite_X"
