Country,Site,Station,zone,Latitude,Longitude
Mozambique,Primeiras_e_Segundas_Archipelagos,Puga-Puga,,-16.451428,39.951183
Mozambique,CORDIO,Quirindi_,,-10.63482702,40.59916547
Mozambique,CORDIO,Quiwia_,,-10.69706667,40.65378333
Mozambique,Inhambane,SAN SEBASTIAN_22,,-22.29431,35.56642
Mozambique,Inhambane,SAN SEBASTIAN_23,,-22.256981,35.53758
Mozambique,Quirimbas_Archipelago,Sencar_Channel,,-12.48905,40.6211
Mozambique,Mozambique_Island,Sete_Paus_Island,,-14.9762,40.78981667
Mozambique,Ponta_do_Ouro_Partial_Marine_Reserve,Techobanine_1,,-26.63011667,32.91455
Mozambique,CORDIO,TekamajiN_,,-10.75588002,40.6436
Mozambique,Ponta_do_Ouro_Partial_Marine_Reserve,Texas,,-26.77125,32.90175
Mozambique,Inhambane,Tofo_1,,-23.91319,35.53523
Mozambique,Inhambane,Tofo_2,,-23.81191,35.54203
Mozambique,Inhambane,Tofo_4,,-23.71263,35.56705
Mozambique,Bazaruto_Archipelago,Two-mile_Reef,,-21.80351667,35.5026
Mozambique,Vamizi_Island,V1.2,,-10.995436,40.67925
Mozambique,Vamizi_Island,V2.1,,-11.021202,40.646498
Mozambique,Vamizi_Island,V2.2,,-11.022073,40.645168
Mozambique,Vamizi_Island,V3.1,,-10.993602,40.711932
Mozambique,Vamizi_Island,V3.2,,-10.992872,40.711139
Mozambique,Vamizi_Island,V6.1,,-11.004657,40.614763
Mozambique,Vamizi_Island,V6.2,,-11.00537,40.61551
Mozambique,Vamizi_Island,V6.3,,-11.005564,40.617699
Mozambique,Vamizi_Island,V7.1,,-11.022782,40.636684
Mozambique,Vamizi_Island,V7.2,,-11.021424,40.634863
Mozambique,Vamizi_Island,V7.3,,-11.020284,40.632418
Mozambique,Vamizi_Island,V8.1,,-11.014756,40.656079
Mozambique,Vamizi_Island,V8.2,,-11.012346,40.656992
Mozambique,CORDIO,VamiziNE_,,-10.994217,40.71341702
Mozambique,CORDIO,VamiziNR_,,-10.99069501,40.68838497
Mozambique,CORDIO,VamiziNU,,-11.01475833,40.63363333
Mozambique,Xai-xai,Xai-xai_Lagoon,,-25.119688,33.730237
Mozambique,Inhambane,Zavora_10,,-24.45078,35.26761
Mozambique,Inhambane,Zavora_7,,-24.56215,35.28957
Mozambique,Inhambane,Zavora_8,,-24.47512,35.24511
Mozambique,Inhambane,Zavora_9,,-24.4777,35.35451
Mozambique,NGO,Caldeira,,-16.64686667,39.71206667
Mozambique,NGO,Casuarina 2,,-17.12355,39.0577
Mozambique,NGO,Casuarina Channel,,-17.13405,39.07383333
Mozambique,NGO,Epidendrom 1,,-17.10245,39.12316667
Mozambique,NGO,Epidendron 2,,-17.0853,39.12878333
Mozambique,NGO,Fogo 1,,-17.2304,38.88783333
Mozambique,NGO,Fogo 2,,-17.23423333,38.86868333
Mozambique,NGO,Ndjovo,,-16.585,39.80306667
Mozambique,NGO,Santo Antonio,,-16.20993333,40.13136667
Mozambique,NGO,Silva,,-17.2898,38.79128333
Rodrigues,NA,Grand Bassin,,-19.66038889,63.35079167
Rodrigues,NA,Ile aux Fous,,-19.65188333,63.387575
Rodrigues,NA,N. Ile aux Sables,,-19.68038333,63.30525
